Розмір порції,,,,,,,,,,,,,,
277.2222222,,,,,,,,,,,,,,
Вуглеводів,57.45,39.3,7.8,2.7,4.5,2.52,0.37,0.26,0,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Паста з баклажанами,530,10.305,11.02,57.45,5.39,5.76,30.05,,,,,,,
,,,,,,,,,,,,,,
,1,170,25,20,100,16,25,3,7.5,20,,,,
,,буряк,шпинат,авокадо,батат,квасоля червона,соняшник,часник,мед,вода,,,,
,,170,25,20,100,16,25,3,7.5,20,,,,
Грамів,445,170,25,20,100,40,41,5,12,32,,,,
Білків,15.1553,2.72,0.725,0.32,1.6,3.544,6,0.1863,0.06,0,,,,
Жирів,17.217,0.34,0,2.62,0,0.248,14,0.009,0,0,,,,
Вуглеводів,56.0072,17,0.9,1.2,20,9.5472,1,0.75,5.61,0,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Салат з батату,445,15.1553,17.217,56.0072,9.44,10.73,34.89,,,,,,,
,,,,,,,,,,,,,,
,2,100,100,6,10,200,300,200,0,90,90,30,,
,,рис,цибуля,часник,олія,кокосове молоко,печериці,томат,нут,соєвий соус,бальзамічний оцет,петрушка,,
,,50,50,3,5,100,150,100,0,45,45,15,,
Грамів,688,175,50,3,5,100,150,100,0,45,45,15,,
Білків,11.9913,3.7,0.55,0.1863,0,0.3,4.185,1,0,1.17,0.45,0.45,,
Жирів,9.639,0.9,0.05,0.009,4.97,3,0.36,0.2,0,0,0,0.15,,
Вуглеводів,71.335,36.45,4.5,0.75,0,7,4.5,3.6,0,4.95,8.685,0.9,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Різотто,688,11.9913,9.639,71.335,4.83,3.88,28.74,,,,,,,
,,,,,,,,,,,,,,
,1,100,40,100,50,5,100,7,5,15,5,,,
,,нут,цибуля,томат,перець,олія,баклажан,волоський горіх,петрушка,сік лимона,олія,вода,,
,,100,40,100,50,5,100,7,5,15,5,50,,
Грамів,627,250,40,100,50,5,100,7,5,15,5,50,,
Білків,23.2472,19,0.44,1,0.5,0,1,1.1032,0.15,0.054,0,0,,
Жирів,20.8391,6,0.04,0.2,0.15,4.97,0,4.4366,0.05,0.0225,4.97,0,,
Вуглеводів,79.6915,61,3.6,3.6,3,0,6,1.2915,0.3,0.9,0,0,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Тушкований нут,627,23.2472,20.8391,79.6915,10.28,9.21,35.23,,,,,,,
,,,,,,,,,,,,,,
,1,28,50,50,200,25,30,,,,,,,
,,маш,оливки,опеньки мариновані,морська капуста,зелена цибуля,соєвий соус,,,,,,,
,,28,50,50,200,25,30,,,,,,,
Грамів,453,98,50,50,200,25,30,,,,,,,
Білків,15.247,6.692,0.5,0.9,6,0.375,0.78,,,,,,,
Жирів,14.836,0.336,6,0.5,8,0,0,,,,,,,
Вуглеводів,32.778,17.528,2.5,0.2,8,1.25,3.3,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Салат із морської капусти,453,15.247,14.836,32.778,9.33,9.08,20.06,,,,,,,
,,,,,,,,,,,,,,
,1,100,90,40,70,3,,,,,,,,
,,нут,морква,цибуля,насіння льону,часник,,,,,,,,
,,100,90,40,70,3,,,,,,,,
Грамів,453,250,90,40,70,3,,,,,,,,
Білків,38.3763,19,0.9,0.44,17.85,0.1863,,,,,,,,
Жирів,34.719,6,0.18,0.04,28.49,0.009,,,,,,,,
Вуглеводів,88.266,61,6.606,3.6,16.31,0.75,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Нутові котлети,453,38.3763,34.719,88.266,23.49,21.25,54.02,,,,,,,
,,,,,,,,,,,,,,
,1,250,150,150,15,24,15,,,,,,,
,,печериці,шпинат,стручкова квасоля,олія,олія,яблучний оцет,,,,,,,
,,250,150,150,15,24,15,,,,,,,
Грамів,604,250,150,150,15,24,15,,,,,,,
Білків,14.625,6.975,4.35,3.3,0,0,0,,,,,,,
Жирів,40.116,0.6,0,0.75,14.91,23.856,0,,,,,,,
Вуглеводів,17.955,7.5,5.4,4.95,0,0,0.105,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Тушковані овочі,604,14.625,40.116,17.955,6.71,18.41,8.24,,,,,,,
,,,,,,,,,,,,,,
,1,250,100,40,35,5,,,,,,,,
,,буряк,морква,капуста,зелень,олія,вода,лимон,,,,,,
,,250,100,40,35,5,15,5,,,,,,
Грамів,450,250,100,40,35,5,15,5,,,,,,
Білків,6.01,4,1,0.4,0.56,0,0,0.05,,,,,,
Жирів,5.94,0.5,0.2,0.08,0.175,4.97,0,0.015,,,,,,
Вуглеводів,35.315,25,7.34,2,0.525,0,0,0.45,,,,,,
